GEOID,NAME,medhomeval,medhhincome,poverty_rate,bachelors_rate,pBlack,pHispanic,vacancy_rate
17031826304,"Census Tract 8263.04, Cook County, Illinois",101400,35799,0.257373595505618,0.09137577002053388,0.9315308988764045,0,0.16890982503364738
17031826401,"Census Tract 8264.01, Cook County, Illinois",112400,53229,0.12481203007518797,0.1380612673101133,0.9671679197994988,0.011528822055137845,0.09912718204488778
17031826402,"Census Tract 8264.02, Cook County, Illinois",90900,55753,0.22336769759450173,0.15357258325250567,0.8874065089953507,0.038811400848999394,0.1888607594936709
17031826500,"Census Tract 8265, Cook County, Illinois",95600,40258,0.32697728403249876,0.10594386351128234,0.8880782623113912,0.026032167136461615,0.1301518438177874
17031826600,"Census Tract 8266, Cook County, Illinois",83900,39266,0.23097826086956522,0.10019536701088473,0.85546875,0.07302989130434782,0.1581282775312626
17031826700,"Census Tract 8267, Cook County, Illinois",72900,34510,0.2650107568941913,0.12288930581613508,0.9057304909055349,0.02112262859378056,0.20535372848948374
17031826800,"Census Tract 8268, Cook County, Illinois",63500,47602,0.2438647342995169,0.0756167894905479,0.47342995169082125,0.41256038647342996,0.20987654320987653
17031826901,"Census Tract 8269.01, Cook County, Illinois",69500,30292,0.36882546652030734,0.04957904583723106,0.676728869374314,0.283205268935236,0.31336898395721924
17031826902,"Census Tract 8269.02, Cook County, Illinois",63300,29211,0.4356923076923077,0.039783001808318265,0.8473846153846154,0.1366153846153846,0.3225806451612903
17031827000,"Census Tract 8270, Cook County, Illinois",78800,28763,0.3782227784730914,0.07057416267942583,0.8951188986232791,0.07334167709637046,0.16172016959418534
17031827100,"Census Tract 8271, Cook County, Illinois",75700,27667,0.3438009787928222,0.09939759036144578,0.8091353996737357,0.09910277324632953,0.2413793103448276
17031827200,"Census Tract 8272, Cook County, Illinois",77700,44068,0.19501079395538498,0.11664820967146548,0.6569920844327177,0.2595346605900696,0.1291139240506329
17031827300,"Census Tract 8273, Cook County, Illinois",72700,22500,0.29894076108277756,0.07070020394289599,0.6053354256571204,0.14790113770105923,0.3521739130434783
17031827400,"Census Tract 8274, Cook County, Illinois",77300,22561,0.36131566028473244,0.033786265148733015,0.7773686794305351,0.17427589592538045,0.27450980392156865
17031827500,"Census Tract 8275, Cook County, Illinois",72800,39179,0.25368217054263564,0.0901496693351897,0.4920542635658915,0.41686046511627906,0.23665564478034956
17031827600,"Census Tract 8276, Cook County, Illinois",89100,37654,0.2431733256682955,0.1016652059596845,0.9698189134808853,0.0054613394653636104,0.13953488372093023
17031827700,"Census Tract 8277, Cook County, Illinois",67700,42939,0.20745428973277075,0.14353219137625517,0.7296061884669479,0.15365682137834036,0.21440677966101696
17031827801,"Census Tract 8278.01, Cook County, Illinois",120500,60379,0.12104460541364849,0.15870098039215685,0.8419748379717881,0.019062142584826535,0.07808716707021791
17031827802,"Census Tract 8278.02, Cook County, Illinois",153100,73409,0.0945945945945946,0.18109540636042404,0.8474903474903475,0.06563706563706563,0.09584393553859202
17031827804,"Census Tract 8278.04, Cook County, Illinois",165800,71563,0.08891882788817784,0.10420944558521561,0.7999326372515999,0.06601549343213203,0.07495741056218058
17031827805,"Census Tract 8278.05, Cook County, Illinois",148200,59427,0.10088616223585549,0.1519167061050639,0.8299250170415815,0.03680981595092025,0.0545950864422202
17031827901,"Census Tract 8279.01, Cook County, Illinois",206000,83125,0.1192193466270683,0.18887665198237885,0.8570216376750106,0,0.051685393258426963
17031827902,"Census Tract 8279.02, Cook County, Illinois",95800,53288,0.20474777448071216,0.11249555001779993,0.520429125770372,0.2275736133302899,0.09644939056703762
17031828000,"Census Tract 8280, Cook County, Illinois",121100,46250,0.16292702648069537,0.14560352978254018,0.3480897513644633,0.17242773398019,0.11808809746954077
17031828100,"Census Tract 8281, Cook County, Illinois",129600,51967,0.2494331065759637,0.15786296408089345,0.3250188964474679,0.20691609977324263,0.10557860765329645
